2-13-2016,2-14-2016,H:55,L:38,40,12,WNW,15,WNW,0.0
2-13-2016,2-15-2016,H:59,L:41,37,24,W,30,W,0.0
2-13-2016,2-16-2016,H:63,L:39,44,9,NNW,10,NNW,0.0
2-14-2016,2-14-2016,H:55,L:36,46,14,WNW,20,WNW,0.0
2-14-2016,2-15-2016,H:60,L:40,38,20,W,30,W,0.0
2-14-2016,2-16-2016,H:64,L:36,35,14,W,20,W,0.0
2-14-2016,2-17-2016,H:65,L:39,41,5,NE,10,NE,0.0
2-15-2016,2-15-2016,H:60,L:38,36,21,W,30,W,0.0
2-15-2016,2-16-2016,H:64,L:35,38,14,W,20,W,0.0
2-15-2016,2-17-2016,H:66,L:41,37,7,ENE,10,ENE,0.0
2-15-2016,2-18-2016,H:68,L:42,30,19,SSW,25,SSW,0.0
2-16-2016,2-16-2016,H:62,L:36,43,11,W,15,W,0.0
2-16-2016,2-17-2016,H:65,L:42,38,5,NNE,10,NNE,0.0
2-16-2016,2-18-2016,H:68,L:41,27,22,SW,30,SW,0.0
2-16-2016,2-19-2016,H:63,L:38,32,9,NE,10,NE,0.0
2-17-2016,2-17-2016,H:65,L:40,37,5,NNE,10,NNE,0.0
2-17-2016,2-18-2016,H:70,L:36,28,20,SW,30,SW,0.0
2-17-2016,2-19-2016,H:64,L:38,24,10,W,15,W,0.0
2-17-2016,2-20-2016,H:64,L:36,36,9,NW,10,NW,0.0
2-18-2016,2-18-2016,H:71,L:37,29,25,SSW,35,SSW,0.02
2-18-2016,2-19-2016,H:64,L:35,23,12,E,15,E,0.0
2-18-2016,2-20-2016,H:62,L:34,37,12,NW,15,NW,0.0
2-18-2016,2-21-2016,H:52,L:29,44,10,E,15,E,0.0
2-19-2016,2-19-2016,H:66,L:35,22,10,S,15,S,0.0
2-19-2016,2-20-2016,H:64,L:31,34,7,ENE,10,ENE,0.0
2-19-2016,2-21-2016,H:51,L:28,45,10,ESE,15,ESE,0.0
2-19-2016,2-22-2016,H:52,L:30,33,13,NW,20,NW,0.02
2-20-2016,2-20-2016,H:64,L:33,29,8,NNW,10,NNW,0.0
2-20-2016,2-21-2016,H:52,L:31,44,8,ESE,10,ESE,0.0
2-20-2016,2-22-2016,H:53,L:31,32,14,WNW,20,WNW,0.17
2-20-2016,2-23-2016,H:43,L:19,48,12,NNE,15,NNE,0.03
2-21-2016,2-21-2016,H:51,L:30,38,8,ESE,10,ESE,0.0
